EVENT_DATE,LATITUDE,LONGITUDE
2020-05-30,29.955,-90.075
2020-05-30,33.394,-104.525
2020-05-30,61.218,-149.9
2020-05-30,38.834,-104.821
2020-05-30,37.975,-87.556
2020-05-30,42.225,-121.782
2020-05-30,40.845,-73.865
2020-05-30,41.676,-86.25
2020-05-30,39.467,-87.414
2020-05-30,47.423,-120.31
2020-05-30,44.035,-69.536
2020-05-30,39.191,-106.818
2020-05-30,41.14,-104.82
2020-05-30,40.925,-98.342
2020-05-30,59.642,-151.549
2020-05-30,58.303,-134.421
2020-05-30,36.603,-121.894
2020-05-30,36.613,-121.845
2020-05-30,32.351,-95.301
2020-05-30,42.991,-71.45
2020-05-30,43.619,-116.2
2020-05-30,40.015,-105.27
2020-05-30,40.893,-73.973
2020-05-30,40.26,-74.274
2020-05-30,39.892,-75.038
2020-05-30,40.718,-74.041
2020-05-30,45.325,-118.088
2020-05-30,40.304,-73.992
2020-05-30,40.917,-74.172
2020-05-30,44.076,-103.228
2020-05-30,40.118,-102.717
2020-05-30,37.906,-122.065
2020-05-30,48.76,-122.488
2020-05-30,39.708,-91.358
2020-05-30,41.767,-72.676
2020-05-30,41.661,-91.53
2020-05-30,46.546,-87.407
2020-05-30,47.036,-122.905
2020-05-30,46.286,-119.284
2020-05-30,36.154,-95.993
2020-05-30,34.367,-89.519
2020-05-30,42.592,-72.31
2020-05-30,36.1,-80.244
2020-05-30,45.633,-122.6
2020-05-30,32.645,-85.378
2020-05-30,44.262,-88.415
2020-05-30,46.602,-120.505
2020-05-30,38.933,-119.984
2020-05-30,34.035,-117.042
2020-05-30,34.639,-120.458
2020-05-30,34.171,-118.838
2020-05-30,34.195,-119.178
2020-05-30,34.106,-117.596
2020-05-30,39.402,-107.211
2020-05-30,37.681,-92.664
2020-05-30,41.409,-75.665
2020-05-30,42.911,-72.104
2020-05-30,40.699,-99.081
2020-05-30,37.275,-107.88
2020-05-30,33.471,-81.975
2020-05-30,34.165,-84.802
2020-05-30,26.622,-81.841
2020-05-30,34.729,-86.585
2020-05-30,35.615,-88.814
2020-05-30,26.617,-80.072
2020-05-30,30.159,-85.66
2020-05-30,27.767,-82.641
2020-05-30,30.833,-83.28
2020-05-30,41.562,-72.651
2020-05-30,30.188,-82.639
2020-05-30,29.895,-81.314
2020-05-30,36.99,-86.444
2020-05-30,30.004,-91.819
2020-05-30,32.421,-104.229
2020-05-30,36.407,-105.573
2020-05-30,40.37,-80.634
2020-05-30,32.449,-99.733
2020-05-30,32.725,-97.321
2020-05-30,38.303,-77.461
2020-05-30,41.311,-105.594
2020-05-30,46.872,-113.994
2020-05-30,48.117,-122.76
2020-05-30,48.118,-123.431
2020-05-30,46.138,-122.938
2020-05-30,38.041,-84.504
2020-05-30,41.246,-75.881
2020-05-30,38.15,-79.073
2020-05-30,33.381,-84.8
2020-05-30,34.101,-84.52
2020-05-30,43.98,-124.101
2020-05-30,46.996,-120.548
2020-05-30,47.932,-122.096
2020-05-30,47.606,-122.333
2020-05-30,33.493,-117.148
2020-05-30,41.583,-87.5
2020-05-30,42.433,-82.924
2020-05-30,40.193,-85.386
2020-05-30,39.936,-91.41
2020-05-30,40.284,-84.156
2020-05-30,39.048,-95.678
2020-05-30,40.626,-75.37
2020-05-30,29.428,-98.488
2020-05-30,32.693,-114.628
2020-05-30,33.425,-94.048
2020-05-30,33.661,-95.555
2020-05-30,33.986,-117.353
2020-05-30,34.226,-77.945
2020-05-30,36.847,-76.285
2020-05-30,37.104,-113.584
2020-05-30,37.208,-93.29
2020-05-30,37.24,-96.996
2020-05-30,39.445,-83.829
2020-05-30,40.221,-74.759
2020-05-30,40.694,-89.589
2020-05-30,41.243,-82.616
2020-05-30,41.654,-74.691
2020-05-30,42.031,-97.426
2020-05-30,42.493,-92.343
2020-05-30,42.588,-72.599
2020-05-30,44.951,-93.095
2020-05-30,41.898,-84.037
2020-05-30,33.56,-81.72
2020-05-30,31.579,-84.156
2020-05-30,35.35,-80.2
2020-05-30,40.608,-75.49
2020-05-30,42.031,-93.632
2020-05-30,42.367,-72.518
2020-05-30,48.513,-122.613
2020-05-30,40.105,-85.68
2020-05-30,42.28,-83.746
2020-05-30,38.979,-76.491
2020-05-30,46.592,-90.884
2020-05-30,39.563,-95.122
2020-05-30,39.329,-82.101
2020-05-30,41.505,-73.97
2020-05-30,38.52,-89.987
2020-05-30,47.474,-94.88
2020-05-30,44.058,-121.315
2020-05-30,45.783,-108.501
2020-05-30,30.396,-88.885
2020-05-30,46.809,-100.783
2020-05-30,40.484,-88.994
2020-05-30,41.142,-87.861
2020-05-30,36.644,-93.219
2020-05-30,40.781,-73.246
2020-05-30,41.99,-70.975
2020-05-30,40.201,-77.189
2020-05-30,42.92,-75.849
2020-05-30,38.536,-89.106
2020-05-30,40.116,-88.244
2020-05-30,38.349,-81.632
2020-05-30,38.029,-78.477
2020-05-30,39.333,-82.982
2020-05-30,38.642,-90.323
2020-05-30,31.124,-97.903
2020-05-30,27.801,-97.396
2020-05-30,44.565,-123.262
2020-05-30,39.84,-88.955
2020-05-30,41.929,-88.75
2020-05-30,38.011,-89.236
2020-05-30,46.787,-92.098
2020-05-30,40.636,-80.531
2020-05-30,33.208,-92.666
2020-05-30,37.694,-85.859
2020-05-30,40.371,-105.548
2020-05-30,39.485,-80.143
2020-05-30,36.728,-108.219
2020-05-30,36.063,-94.157
2020-05-30,38.053,-81.104
2020-05-30,33.886,-117.929
2020-05-30,29.652,-82.327
2020-05-30,40.948,-90.371
2020-05-30,29.301,-94.798
2020-05-30,41.582,-85.834
2020-05-30,44.519,-88.02
2020-05-30,37.03,-76.345
2020-05-30,43.702,-72.29
2020-05-30,45.705,-121.521
2020-05-30,38.419,-82.445
2020-05-30,41.653,-70.283
2020-05-30,32.299,-90.186
2020-05-30,38.391,-86.931
2020-05-30,38.278,-85.737
2020-05-30,36.313,-82.353
2020-05-30,20.889,-156.473
2020-05-30,19.642,-155.997
2020-05-30,42.29,-85.586
2020-05-30,21.334,-158.078
2020-05-30,42.933,-72.28
